modality	cluster	feature	freq_in_cluster	freq_rest	difference	abs_effect	mean_in_cluster	mean_rest	t_statistic_reference_only	rank_within_modality_cluster
cnv	0	GLULP5			3.0568400770712914	3.0568400770712914	5.166666666666667	2.1098265895953756	3.1536939290743753	1
cnv	0	RAF1P1			2.7341040462427744	2.7341040462427744	5.0	2.2658959537572256	3.3395210131232513	2
cnv	0	AC006499.2			2.7341040462427744	2.7341040462427744	5.0	2.2658959537572256	3.3395210131232513	3
cnv	0	AC006499.8			2.7341040462427744	2.7341040462427744	5.0	2.2658959537572256	3.3395210131232513	4
cnv	0	AC006499.4			2.7341040462427744	2.7341040462427744	5.0	2.2658959537572256	3.3395210131232513	5
cnv	0	AC006499.7			2.578998073217726	2.578998073217726	4.833333333333333	2.254335260115607	3.021793618557543	6
cnv	0	AC006499.3			2.578998073217726	2.578998073217726	4.833333333333333	2.254335260115607	3.021793618557543	7
cnv	0	AC006499.5			2.578998073217726	2.578998073217726	4.833333333333333	2.254335260115607	3.021793618557543	8
cnv	0	AC006499.1			2.41233140655106	2.41233140655106	4.666666666666667	2.254335260115607	3.1151281114725795	9
cnv	0	FGF10			2.2018304431599227	2.2018304431599227	4.583333333333333	2.3815028901734103	2.01557054540232	10
cnv	0	HMGCS1			2.2018304431599227	2.2018304431599227	4.583333333333333	2.3815028901734103	2.01557054540232	11
cnv	0	AC010435.1			2.2018304431599227	2.2018304431599227	4.583333333333333	2.3815028901734103	2.01557054540232	12
cnv	0	NNT			2.2018304431599227	2.2018304431599227	4.583333333333333	2.3815028901734103	2.01557054540232	13
cnv	0	ZNF131			2.2018304431599227	2.2018304431599227	4.583333333333333	2.3815028901734103	2.01557054540232	14
cnv	0	NNT-AS1			2.2018304431599227	2.2018304431599227	4.583333333333333	2.3815028901734103	2.01557054540232	15
cnv	0	C5orf34-AS1			2.2018304431599227	2.2018304431599227	4.583333333333333	2.3815028901734103	2.01557054540232	16
cnv	0	C5orf34			2.2018304431599227	2.2018304431599227	4.583333333333333	2.3815028901734103	2.01557054540232	17
cnv	0	AC104119.1			2.2018304431599227	2.2018304431599227	4.583333333333333	2.3815028901734103	2.01557054540232	18
cnv	0	PPIAP77			2.2018304431599227	2.2018304431599227	4.583333333333333	2.3815028901734103	2.01557054540232	19
cnv	0	RNU6-381P			2.2018304431599227	2.2018304431599227	4.583333333333333	2.3815028901734103	2.01557054540232	20
cnv	1	AC005772.2			-1.4052388289676425	1.4052388289676425	1.2727272727272727	2.6779661016949152	-2.723345398996806	1
cnv	1	RNU6-314P			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	2
cnv	1	TBC1D26			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	3
cnv	1	AC005703.2			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	4
cnv	1	AC005703.3			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	5
cnv	1	AC005703.4			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	6
cnv	1	AC005703.5			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	7
cnv	1	AC005703.6			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	8
cnv	1	MIR4731			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	9
cnv	1	RNA5SP436			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	10
cnv	1	TBC1D26-AS1			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	11
cnv	1	CDRT4			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	12
cnv	1	RN7SL792P			-1.3943840121426765	1.3943840121426765	1.2835820895522387	2.6779661016949152	-2.702173146151165	13
